unidade;ano;mes;setor_centro_custo;internacoes
HEM;2025,0;9,0;ALA A;53,0
HEM;2025,0;9,0;ALA C;50,0
HEM;2025,0;9,0;ALA D;39,0
HEM;2025,0;9,0;CTI - ADULTO;28,0
HEM;2025,0;10,0;ALA A;65,0
HEM;2025,0;10,0;ALA C;60,0
HEM;2025,0;10,0;ALA D;47,0
HEM;2025,0;10,0;CTI - ADULTO;21,0
HEM;2025,0;11,0;ALA A;48,0
HEM;2025,0;11,0;ALA C;49,0
HEM;2025,0;11,0;ALA D;49,0
HEM;2025,0;11,0;CTI - ADULTO;15,0
HEM;2025,0;12,0;ALA A;53,0
HEM;2025,0;12,0;ALA C;48,0
HEM;2025,0;12,0;ALA D;36,0
HEM;2025,0;12,0;CTI - ADULTO;19,0
HEM;2026,0;1,0;ALA A;42,0
HEM;2026,0;1,0;ALA C;55,0
HEM;2026,0;1,0;ALA D;37,0
HEM;2026,0;1,0;CTI - ADULTO;22,0
HEM;2026,0;2,0;ALA A;53,0
HEM;2026,0;2,0;ALA C;50,0
HEM;2026,0;2,0;ALA D;35,0
HEM;2026,0;2,0;CTI - ADULTO;14,0
HIJPII;2019,0;1,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;178,0
HIJPII;2019,0;1,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;95,0
HIJPII;2019,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;101,0
HIJPII;2019,0;1,0;UTI;30,0
HIJPII;2019,0;2,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;158,0
HIJPII;2019,0;2,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;97,0
HIJPII;2019,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;94,0
HIJPII;2019,0;2,0;UTI;33,0
HIJPII;2019,0;3,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;180,0
HIJPII;2019,0;3,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;205,0
HIJPII;2019,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;113,0
HIJPII;2019,0;3,0;UTI;39,0
HIJPII;2019,0;4,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;166,0
HIJPII;2019,0;4,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;320,0
HIJPII;2019,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;117,0
HIJPII;2019,0;4,0;UTI;19,0
HIJPII;2019,0;5,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;224,0
HIJPII;2019,0;5,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;244,0
HIJPII;2019,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;135,0
HIJPII;2019,0;5,0;UTI;21,0
HIJPII;2019,0;6,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;182,0
HIJPII;2019,0;6,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;203,0
HIJPII;2019,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;133,0
HIJPII;2019,0;6,0;UTI;39,0
HIJPII;2019,0;7,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;167,0
HIJPII;2019,0;7,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;142,0
HIJPII;2019,0;7,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;107,0
HIJPII;2019,0;7,0;UTI;41,0
HIJPII;2019,0;8,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;185,0
HIJPII;2019,0;8,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;84,0
HIJPII;2019,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;121,0
HIJPII;2019,0;8,0;UTI;39,0
